Powiat,URL
Powiat grajewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200400
Powiat hajnowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200500
Powiat kolneński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200600
Powiat łomżyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200700
Powiat moniecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200800
Powiat sejneński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200900
Powiat siemiatycki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/201000
Powiat sokólski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/201100
Powiat suwalski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/201200
Powiat wysokomazowiecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/201300
Powiat zambrowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/201400
Miasto na prawach powiatu Białystok,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/206100
Miasto na prawach powiatu Łomża,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/206200
Miasto na prawach powiatu Suwałki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/206300
Powiat gdański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220400
Powiat kwidzyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220700
Powiat malborski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220900
Powiat nowodworski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221000
Powiat starogardzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221300
Powiat tczewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221400
Powiat sztumski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221600
Miasto na prawach powiatu Gdańsk,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/226100
Miasto na prawach powiatu Sopot,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/226400
Powiat bytowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220100
Powiat chojnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220200
Powiat człuchowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220300
Powiat kartuski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220500
Powiat kościerski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220600
Powiat lęborski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/220800
Powiat pucki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221100
Powiat słupski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221200
Powiat wejherowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/221500
Miasto na prawach powiatu Gdynia,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/226200
Miasto na prawach powiatu Słupsk,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/226300
Powiat bielski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240200
Powiat cieszyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240300
Powiat pszczyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241000
